t, xmin, xmax, ymin, ymax
         0,   1.00000000e-01,   2.49583333e-01,   0.00000000e+00,   9.95833333e-02
      1000,   1.06250000e-01,   2.49583333e-01,   0.00000000e+00,   1.02083333e-01
      2000,   1.13333333e-01,   2.49583333e-01,   0.00000000e+00,   1.05416667e-01
      3000,   1.20416667e-01,   2.49583333e-01,   0.00000000e+00,   1.08750000e-01
      4000,   1.27916667e-01,   2.51250000e-01,   0.00000000e+00,   1.11666667e-01
      5000,   1.35000000e-01,   2.57916667e-01,   0.00000000e+00,   1.15000000e-01
      6000,   1.42083333e-01,   2.65416667e-01,   0.00000000e+00,   1.17916667e-01
      7000,   1.49166667e-01,   2.73333333e-01,   0.00000000e+00,   1.20833333e-01
      8000,   1.56250000e-01,   2.81666667e-01,   0.00000000e+00,   1.23333333e-01
      9000,   1.63333333e-01,   2.90833333e-01,   0.00000000e+00,   1.26250000e-01
     10000,   1.70416667e-01,   3.02500000e-01,   0.00000000e+00,   1.28333333e-01
     11000,   1.77083333e-01,   3.14166667e-01,   0.00000000e+00,   1.30416667e-01
     12000,   1.83750000e-01,   3.24583333e-01,   0.00000000e+00,   1.32500000e-01
     13000,   1.87083333e-01,   3.32083333e-01,   0.00000000e+00,   1.35000000e-01
     14000,   1.91250000e-01,   3.34166667e-01,   0.00000000e+00,   1.38333333e-01
     15000,   1.98750000e-01,   3.34583333e-01,   0.00000000e+00,   1.42916667e-01
     16000,   2.08333333e-01,   3.33333333e-01,   0.00000000e+00,   1.45833333e-01
     17000,   2.17500000e-01,   3.32083333e-01,   0.00000000e+00,   1.48333333e-01
     18000,   2.26666667e-01,   3.31250000e-01,   0.00000000e+00,   1.50833333e-01
     19000,   2.35416667e-01,   3.29166667e-01,   0.00000000e+00,   1.52916667e-01
     20000,   2.36250000e-01,   3.35416667e-01,   0.00000000e+00,   1.55000000e-01
     21000,   2.35000000e-01,   3.41250000e-01,   0.00000000e+00,   1.57083333e-01
     22000,   2.35833333e-01,   3.45416667e-01,   0.00000000e+00,   1.60000000e-01
     23000,   2.37083333e-01,   3.48333333e-01,   0.00000000e+00,   1.63333333e-01
     24000,   2.36250000e-01,   3.50833333e-01,   0.00000000e+00,   1.67500000e-01
     25000,   2.33333333e-01,   3.51666667e-01,   0.00000000e+00,   1.72916667e-01
     26000,   2.30416667e-01,   3.52500000e-01,   0.00000000e+00,   1.76250000e-01
     27000,   2.28333333e-01,   3.52500000e-01,   0.00000000e+00,   1.79166667e-01
     28000,   2.27500000e-01,   3.52500000e-01,   0.00000000e+00,   1.82916667e-01
     29000,   2.27083333e-01,   3.52500000e-01,   0.00000000e+00,   1.86250000e-01
     30000,   2.26666667e-01,   3.52916667e-01,   0.00000000e+00,   1.90000000e-01
     31000,   2.27083333e-01,   3.54583333e-01,   0.00000000e+00,   1.92916667e-01
     32000,   2.27500000e-01,   3.56250000e-01,   0.00000000e+00,   1.95000000e-01
     33000,   2.26250000e-01,   3.56250000e-01,   0.00000000e+00,   1.96250000e-01
     34000,   2.24583333e-01,   3.56250000e-01,   0.00000000e+00,   1.97083333e-01
     35000,   2.22916667e-01,   3.58333333e-01,   0.00000000e+00,   1.97916667e-01
     36000,   2.21250000e-01,   3.60416667e-01,   0.00000000e+00,   1.98333333e-01
     37000,   2.20416667e-01,   3.63333333e-01,   0.00000000e+00,   1.98750000e-01
     38000,   2.19583333e-01,   3.66666667e-01,   0.00000000e+00,   1.99166667e-01
     39000,   2.19166667e-01,   3.70000000e-01,   0.00000000e+00,   1.99166667e-01
     40000,   2.19166667e-01,   3.73333333e-01,   0.00000000e+00,   1.99583333e-01
     41000,   2.19166667e-01,   3.76250000e-01,   0.00000000e+00,   1.99583333e-01
